x	VE	analog 5.24
x	HN	calvarycomics.com
W	Rr	1454	0.310	2013	11	10
W	Rr	1792	0.382	2013	11	03
W	Rr	2190	0.467	2013	10	27
W	Rr	1733	0.370	2013	10	20
W	Rr	1612	0.344	2013	10	13
W	Rr	1577	0.337	2013	10	06
W	Rr	34	0.007	2013	09	29
W	Rr	1567	0.334	2013	09	22
W	Rr	2061	0.440	2013	09	15
W	Rr	1976	0.422	2013	09	08
W	Rr	1501	0.320	2013	09	01
W	Rr	1476	0.315	2013	08	25
W	Rr	1748	0.373	2013	08	18
W	Rr	1381	0.295	2013	08	11
W	Rr	1759	0.375	2013	08	04
W	Rr	1973	0.421	2013	07	28
W	Rr	2097	0.447	2013	07	21
W	Rr	1809	0.386	2013	07	14
W	Rr	1546	0.330	2013	07	07
W	Rr	1653	0.353	2013	06	30
W	Rr	2089	0.446	2013	06	23
W	Rr	1574	0.336	2013	06	16
W	Rr	2196	0.469	2013	06	09
W	Rr	1543	0.329	2013	06	02
W	Rr	1630	0.348	2013	05	26
W	Rr	1170	0.250	2013	05	19
W	Rr	1586	0.338	2013	05	12
W	Rr	1623	0.346	2013	05	05
W	Rr	1394	0.297	2013	04	28
W	Rr	1723	0.368	2013	04	21
W	Rr	1800	0.384	2013	04	14
W	Rr	2138	0.456	2013	04	07
W	Rr	1886	0.402	2013	03	31
W	Rr	1546	0.330	2013	03	24
W	Rr	1923	0.410	2013	03	17
W	Rr	2049	0.437	2013	03	10
W	Rr	23	0.005	2013	03	03
W	Rr	1589	0.339	2013	02	24
W	Rr	2448	0.522	2013	02	17
W	Rr	1928	0.411	2013	02	10
W	Rr	1722	0.367	2013	02	03
W	Rr	1351	0.288	2013	01	27
W	Rr	1584	0.338	2013	01	20
W	Rr	1833	0.391	2013	01	13
W	Rr	1881	0.401	2013	01	06
W	Rr	2107	0.450	2012	12	30
W	Rr	2064	0.440	2012	12	23
W	Rr	1496	0.319	2012	12	16
W	Rr	2298	0.490	2012	12	09
W	Rr	2144	0.457	2012	12	02
W	Rr	3797	0.810	2012	11	25
W	Rr	2689	0.574	2012	11	18
W	Rr	3199	0.683	2012	11	11
W	Rr	2654	0.566	2012	11	04
W	Rr	3155	0.673	2012	10	28
W	Rr	1543	0.329	2012	10	21
W	Rr	2175	0.464	2012	10	14
W	Rr	2191	0.468	2012	10	07
W	Rr	2111	0.450	2012	09	30
W	Rr	2056	0.439	2012	09	23
W	Rr	1549	0.331	2012	09	16
W	Rr	1880	0.401	2012	09	09
W	Rr	2091	0.446	2012	09	02
W	Rr	1554	0.332	2012	08	26
W	Rr	1182	0.252	2012	08	19
W	Rr	1668	0.356	2012	08	12
W	Rr	1868	0.399	2012	08	05
W	Rr	1123	0.240	2012	07	29
W	Rr	2138	0.456	2012	07	22
W	Rr	1346	0.287	2012	07	15
W	Rr	1022	0.218	2012	07	08
W	Rr	1508	0.322	2012	07	01
W	Rr	1358	0.290	2012	06	24
W	Rr	1254	0.268	2012	06	17
W	Rr	1074	0.229	2012	06	10
W	Rr	1580	0.337	2012	06	03
W	Rr	1519	0.324	2012	05	27
W	Rr	1299	0.277	2012	05	20
W	Rr	1326	0.283	2012	05	13
W	Rr	1609	0.343	2012	05	06
W	Rr	1659	0.354	2012	04	29
W	Rr	1763	0.376	2012	04	22
W	Rr	1553	0.331	2012	04	15
W	Rr	2185	0.466	2012	04	08
W	Rr	1462	0.312	2012	04	01
W	Rr	1809	0.386	2012	03	25
W	Rr	1468	0.313	2012	03	18
W	Rr	1318	0.281	2012	03	11
W	Rr	32	0.007	2012	03	04
W	Rr	1324	0.283	2012	02	26
W	Rr	1430	0.305	2012	02	19
W	Rr	665	0.142	2012	02	12
W	Rr	1240	0.265	2012	02	05
W	Rr	105	0.022	2012	01	29
W	Rr	1082	0.231	2012	01	22
W	Rr	55	0.012	2012	01	15
W	Rr	1446	0.309	2012	01	08
W	Rr	1044	0.223	2012	01	01
W	Rr	1226	0.262	2011	12	25
W	Rr	1727	0.369	2011	12	18
W	Rr	1570	0.335	2011	12	11
W	Rr	1534	0.327	2011	12	04
W	Rr	1530	0.326	2011	11	27
W	Rr	1249	0.267	2011	11	20
W	Rr	1400	0.299	2011	11	13
W	Rr	1435	0.306	2011	11	06
W	Rr	1457	0.311	2011	10	30
W	Rr	1266	0.270	2011	10	23
W	Rr	1748	0.373	2011	10	16
W	Rr	1374	0.293	2011	10	09
W	Rr	1354	0.289	2011	10	02
W	Rr	1905	0.406	2011	09	25
W	Rr	1938	0.414	2011	09	18
W	Rr	3114	0.664	2011	09	11
W	Rr	1340	0.286	2011	09	04
W	Rr	1341	0.286	2011	08	28
W	Rr	1627	0.347	2011	08	21
W	Rr	1297	0.277	2011	08	14
W	Rr	1615	0.345	2011	08	07
W	Rr	1346	0.287	2011	07	31
W	Rr	1203	0.257	2011	07	24
W	Rr	1176	0.251	2011	07	17
W	Rr	1375	0.293	2011	07	10
W	Rr	1337	0.285	2011	07	03
W	Rr	1516	0.323	2011	06	26
W	Rr	1362	0.291	2011	06	19
W	Rr	0	0.000	2011	06	12
W	Rr	0	0.000	2011	06	05
W	Rr	0	0.000	2011	05	29
W	Rr	0	0.000	2011	05	22
W	Rr	0	0.000	2011	05	15
W	Rr	0	0.000	2011	05	08
W	Rr	0	0.000	2011	05	01
W	Rr	0	0.000	2011	04	24
W	Rr	0	0.000	2011	04	17
W	Rr	0	0.000	2011	04	10
W	Rr	0	0.000	2011	04	03
W	Rr	0	0.000	2011	03	27
W	Rr	0	0.000	2011	03	20
W	Rr	0	0.000	2011	03	13
W	Rr	0	0.000	2011	03	06
W	Rr	0	0.000	2011	02	27
W	Rr	0	0.000	2011	02	20
W	Rr	0	0.000	2011	02	13
W	Rr	0	0.000	2011	02	06
W	Rr	0	0.000	2011	01	30
W	Rr	0	0.000	2011	01	23
W	Rr	0	0.000	2011	01	16
W	Rr	0	0.000	2011	01	09
W	Rr	0	0.000	2011	01	02
W	Rr	0	0.000	2010	12	26
W	Rr	0	0.000	2010	12	19
W	Rr	0	0.000	2010	12	12
W	Rr	81	0.017	2010	12	05
W	Rr	1832	0.391	2010	11	28
W	Rr	1737	0.371	2010	11	21
W	Rr	1913	0.408	2010	11	14
W	Rr	1732	0.370	2010	11	07
W	Rr	1543	0.329	2010	10	31
W	Rr	1667	0.356	2010	10	24
W	Rr	1906	0.407	2010	10	17
W	Rr	1980	0.422	2010	10	10
W	Rr	1522	0.325	2010	10	03
